test	taille	exe	exectime	memory	mmm
190	5635	fus	0.00 1328	1		
190	5635	ins	0.00 1272	1		
190	5635	rap	0.06 1628		1	
191	21106	fus	0.00 1652	1		
191	21106	ins	0.00 1368	1		
191	21106	rap	0.95 2684		1	
192	31873	ins	0.00 1436			1
192	31873	fus	0.00 1792	1		
192	31873	rap	2.08 3436		1	
193	15150	ins	0.00 1380			1
193	15150	fus	0.00 1520	1		
193	15150	rap	0.47 2348		1	
194	29169	ins	0.00 1508			1
194	29169	fus	0.00 1808	1		
194	29169	rap	1.74 3224		1	
195	23756	fus	0.00 1660	1		
195	23756	ins	0.00 1416			1
195	23756	rap	1.15 2956		1	
196	5644	ins	0.00 1280	1		
196	5644	fus	0.00 1372	1		
196	5644	rap	0.07 1596		1	
197	12164	ins	0.00 1352			1
197	12164	fus	0.00 1476	1		
197	12164	rap	0.30 2040		1	
198	13176	ins	0.00 1384	1		
198	13176	fus	0.00 1528	1		
198	13176	rap	0.36 2104		1	
199	26546	ins	0.00 1504			1
199	26546	fus	0.00 1696	1		
199	26546	rap	1.50 3160		1	
200	6354	ins	0.00 1308			1
200	6354	fus	0.00 1368	1		
200	6354	rap	0.08 1700		1	
201	17632	ins	0.00 1340			1
201	17632	fus	0.00 1464	1		
201	17632	rap	0.64 2436		1	
202	28309	ins	0.00 1504			1
202	28309	fus	0.00 1804	1		
202	28309	rap	1.66 3252		1	
203	5842	ins	0.00 1300	1		
203	5842	fus	0.00 1344	1		
203	5842	rap	0.07 1580		1	
204	21447	ins	0.00 1348			1
204	21447	fus	0.00 1592	1		
204	21447	rap	0.95 2732		1	
205	26259	ins	0.00 1472			1
205	26259	fus	0.00 1696	1		
205	26259	rap	1.41 3084		1	
206	29458	ins	0.00 1516	1		
206	29458	fus	0.00 1716	1		
206	29458	rap	1.78 3340		1	
207	21049	fus	0.00 1644	1		
207	21049	ins	0.00 1432	1		
207	21049	rap	0.91 2676		1	
208	26030	ins	0.00 1468			1
208	26030	fus	0.00 1720	1		
208	26030	rap	1.39 3024		1	
209	24721	ins	0.00 1480			1
209	24721	fus	0.00 1576	1		
209	24721	rap	1.24 3028		1	
210	3459	fus	0.00 1344	1		
210	3459	ins	0.00 1300			1
210	3459	rap	0.02 1468		1	
211	15353	ins	0.00 1296			1
211	15353	fus	0.00 1476	1		
211	15353	rap	0.48 2364		1	
212	7427	fus	0.00 1300	1		
212	7427	ins	0.00 1352	1		
