test	taille	exe	exectime	memory	mmm
365	635000	rap	0.19 6200		1
366	558000	fus	0.13 10032	1	
366	558000	rap	0.16 5644		1
367	526000	fus	0.11 9536	1	
367	526000	rap	0.14 5376		1
368	253000	rap	0.05 3168	1	
368	253000	fus	0.05 5236	1	
369	119000	rap	0.02 2152	1	
369	119000	fus	0.02 3044	1	
370	372000	fus	0.08 7080	1	
370	372000	rap	0.09 4108		1
371	804000	fus	0.18 13796	1	
371	804000	rap	0.26 7544		1
372	467000	fus	0.10 8572	1	
372	467000	rap	0.12 4936		1
373	693000	fus	0.17 12072	1	
373	693000	rap	0.22 6712		1
374	232000	rap	0.04 3000	1	
374	232000	fus	0.05 4908	1	
375	94000	rap	0.01 2012		1
375	94000	fus	0.02 2712	1	
376	292000	rap	0.06 3556		1
376	292000	fus	0.06 5844	1	
377	482000	fus	0.11 8812	1	
377	482000	rap	0.13 4968		1
378	449000	fus	0.10 8336	1	
378	449000	rap	0.12 4744		1
379	981000	fus	0.24 16580	1	
379	981000	rap	0.37 8940		1
380	40000	rap	0.00 1548		1
380	40000	fus	0.00 1864	1	
381	354000	fus	0.08 6800	1	
381	354000	rap	0.08 4052		1
382	695000	fus	0.16 12172	1	
382	695000	rap	0.22 6664		1
383	359000	fus	0.08 6860	1	
383	359000	rap	0.09 4084		1
384	246000	rap	0.06 3192	1	
384	246000	fus	0.06 5196	1	
385	980000	fus	0.22 16580	1	
385	980000	rap	0.36 8888		1
386	350000	fus	0.08 6720	1	
386	350000	rap	0.08 4016		1
387	741000	fus	0.17 12836	1	
387	741000	rap	0.24 6976		1
388	743000	fus	0.17 12904	1	
388	743000	rap	0.24 6992		1
389	907000	fus	0.20 15400	1	
389	907000	rap	0.32 8256		1
390	435000	fus	0.12 8088	1	
390	435000	rap	0.14 4580		1
391	893000	fus	0.20 15232	1	
391	893000	rap	0.31 8220		1
392	46000	rap	0.00 1620		1
392	46000	fus	0.01 2028	1	
393	912000	fus	0.20 15528	1	
393	912000	rap	0.32 8312		1
394	364000	fus	0.08 7004	1	
394	364000	rap	0.09 4096		1
395	751000	fus	0.17 12988	1	
395	751000	rap	0.24 7056		1
396	611000	fus	0.14 10812	1	
396	611000	rap	0.18 6004		1
