test	taille	exe	exectime	memory	mmm
182	35000	fus	0.00 1728	1		
182	35000	rap	0.00 1524	1		
182	35000	ins	0.88 1500			1
183	6000	fus	0.00 1368	1		
183	6000	rap	0.00 1300	1		
183	6000	ins	0.03 1324			1
184	8000	rap	0.00 1340	1		
184	8000	fus	0.00 1352	1		
184	8000	ins	0.05 1244			1
185	44000	rap	0.00 1600		1	
185	44000	fus	0.01 1920	1		
185	44000	ins	1.39 1528			1
186	51000	rap	0.00 1680		1	
186	51000	fus	0.01 2152	1		
186	51000	ins	1.87 1656			1
187	4000	fus	0.00 1328	1		
187	4000	rap	0.00 1232	1		
187	4000	ins	0.01 1308			1
188	16000	rap	0.00 1404	1		
188	16000	fus	0.00 1504	1		
188	16000	ins	0.19 1300			1
189	44000	rap	0.00 1564		1	
189	44000	fus	0.00 1960		1	
189	44000	ins	1.38 1604			1
190	50000	rap	0.01 1660		1	
190	50000	fus	0.01 2136	1		
190	50000	ins	1.79 1660			1
191	25000	rap	0.00 1420			
191	25000	fus	0.00 1744	1		
191	25000	ins	0.45 1392			1
192	16000	rap	0.00 1248	1		
192	16000	fus	0.00 1528	1		
192	16000	ins	0.19 1308			1
193	36000	rap	0.00 1544		1	
193	36000	fus	0.00 1844	1		
193	36000	ins	0.92 1560			1
194	24000	fus	0.00 1608		1	
194	24000	rap	0.00 1480		1	
194	24000	ins	0.41 1456			1
195	44000	rap	0.00 1548		1	
195	44000	fus	0.01 1968	1		
195	44000	ins	1.38 1604			1
196	42000	fus	0.00 2012		1	
196	42000	rap	0.00 1504		1	
196	42000	ins	1.26 1616			1
197	3000	fus	0.00 1288		1	
197	3000	rap	0.00 1300		1	
197	3000	ins	0.00 1280			1
198	32000	rap	0.00 1444	1		
198	32000	fus	0.00 1740	1		
198	32000	ins	0.74 1508			1
199	21000	fus	0.00 1612	1		
199	21000	rap	0.00 1348	1		
199	21000	ins	0.32 1428			1
200	28000	fus	0.00 1744	1		
200	28000	rap	0.00 1488		1	
200	28000	ins	0.56 1492			1
201	52000	rap	0.01 1640		1	
201	52000	fus	0.01 2048	1		
201	52000	ins	1.94 1676			1
202	15000	fus	0.00 1512	1		
202	15000	rap	0.00 1316	1		
202	15000	ins	0.16 1292			1
203	56000	rap	0.01 1608	1		
203	56000	fus	0.01 2160	1		
203	56000	ins	2.24 1720			1
204	45000	rap	0.00 1604		1	
204	45000	fus	0.01 2020	1		
204	45000	ins	1.44 1576			1
205	38000	rap	0.00 1532		1	
205	38000	fus	0.00 1908	1		
205	38000	ins	1.03 1560			1
206	44000	fus	0.00 1968			
206	44000	rap	0.00 1528		1	
206	44000	ins	1.39 1604			1
207	3000	fus	0.00 1360		1	
207	3000	ins	0.00 1148			1
207	3000	rap	0.00 1276		1	
208	5000	rap	0.00 1212		1	
208	5000	fus	0.00 1360		1	
208	5000	ins	0.02 1316			1
209	30000	fus	0.00 1752		1	
209	30000	rap	0.00 1416		1	
209	30000	ins	0.64 1408			1
210	21000	rap	0.00 1292	1		
210	21000	fus	0.00 1684	1		
210	21000	ins	0.32 1368			1
211	14000	fus	0.00 1524		1	
211	14000	rap	0.00 1360		1	
211	14000	ins	0.14 1364			1
212	56000	rap	0.01 1720	1		
212	56000	fus	0.01 2132	1		
212	56000	ins	2.25 1708			1
213	32000	fus	0.00 1684	1		
213	32000	rap	0.00 1536	1		
213	32000	ins	0.74 1460			1
214	58000	rap	0.01 1656		1	
214	58000	fus	0.01 2188		1	
214	58000	ins	2.41 1736			1
215	21000	fus	0.00 1568		1	
215	21000	rap	0.00 1420		1	
215	21000	ins	0.32 1452			1
216	7000	fus	0.00 1460	1		
216	7000	rap	0.00 1312	1		
216	7000	ins	0.03 1276			1
217	39000	fus	0.01 1848	1		
217	39000	rap	0.00 1532	1		
217	39000	ins	1.09 1580			1
218	10000	rap	0.00 1308	1		
218	10000	fus	0.00 1396	1		
218	10000	ins	0.07 1352			1
219	27000	rap	0.00 1336		1	
219	27000	fus	0.00 1696	1		
219	27000	ins	0.52 1444			1
220	12000	fus	0.00 1452	1		
220	12000	rap	0.00 1376		1	
220	12000	ins	0.10 1292			1
221	50000	rap	0.01 1676	1		
221	50000	fus	0.01 2016	1		
221	50000	ins	1.79 1624			1
222	24000	rap	0.00 1440		1	
222	24000	fus	0.00 1620	1		
222	24000	ins	0.42 1440			1
223	3000	rap	0.00 1276	1		
223	3000	fus	0.00 1336			1
223	3000	ins	0.00 1276			1
224	5000	fus	0.00 1328	1		
224	5000	rap	0.00 1208	1		
224	5000	ins	0.02 1296			1
225	6000	rap	0.00 1304	1		
225	6000	fus	0.00 1352	1		
225	6000	ins	0.02 1320			1
226	54000	fus	0.01 2132	1		
226	54000	rap	0.01 1704	1		
226	54000	ins	2.10 1548			1
227	2000	rap	0.00 1140	1		
227	2000	fus	0.00 1344	1		
227	2000	ins	0.00 1200			1
228	30000	fus	0.00 1760	1		
228	30000	rap	0.00 1496	1		
228	30000	ins	0.65 1516			1
229	55000	fus	0.01 2216		1	
